line_number,similar
1,Yes
2,Yes
3,No
4,No
5,Yes
6,No
7,No
8,Not Sure
9,Yes
10,No
11,No
12,Yes
13,Yes
14,Yes
15,Yes
16,Yes
17,Yes
18,No
19,Yes
20,Yes
21,No
22,Yes
23,No
24,No
25,No
26,Yes
27,No
28,Yes
29,Yes
30,No
31,No
32,Yes
33,No
34,No
35,Yes
36,Yes
37,Not Sure
38,Yes
39,Yes
40,Yes
41,No
42,Yes
43,No
44,No
45,Yes
46,Yes
47,Yes
48,No
49,Yes
50,No
51,Yes
52,No
53,No
54,Yes
55,No
56,Yes
57,No
58,No
59,Yes
60,No
61,Yes
62,Yes
63,Yes
64,Yes
65,No
66,Yes
67,Yes
68,No
69,No
70,No
71,Yes
72,Yes
73,Yes
74,Yes
75,Yes
76,Yes
77,Yes
78,Yes
79,No
80,No
81,No
82,No
83,Not Sure
84,No
85,Yes
86,Yes
87,No
88,Yes
89,Yes
90,Yes
91,Yes
92,Yes
