line_number,similar
1,No
2,No
3,Yes
4,No
5,Yes
6,No
7,Yes
8,No
9,No
10,No
11,Yes
12,Yes
13,No
14,Yes
15,No
16,No
17,No
18,No
19,No
20,No
21,Yes
22,No
23,Yes
24,No
25,No
26,Yes
27,Yes
28,Yes
29,Yes
30,Yes
31,Yes
32,No
33,No
34,Yes
35,No
36,Yes
37,Yes
38,Yes
39,No
40,No
41,Yes
42,No
43,No
44,Yes
45,Yes
46,No
47,No
48,No
49,No
50,Yes
51,Yes
52,No
53,No
54,No
55,Yes
56,Yes
57,No
58,No
59,No
60,No
61,Yes
62,Yes
63,No
64,Yes
65,Yes
66,No
67,Yes
68,Yes
69,Yes
70,No
71,Yes
72,No
73,No
74,Yes
75,Broken
76,No
77,No
78,No
79,No
80,Yes
81,No
82,No
83,Yes
84,No
85,Yes
86,No
87,No
88,No
89,Yes
90,No
91,Yes
92,No
93,Yes
