line_number,similar
1,Yes
2,Yes
3,No
4,No
5,No
6,Yes
7,Yes
8,Yes
9,Yes
10,Yes
11,Yes
12,Yes
13,Yes
14,No
15,Yes
16,Yes
17,Yes
18,No
19,Yes
20,Yes
21,Yes
22,No
23,No
24,No
25,Yes
26,Yes
27,No
28,No
29,No
30,No
31,Not Sure
32,Yes
33,Not Sure
34,Not Sure
35,Yes
36,No
37,Yes
38,Yes
39,Yes
40,Yes
41,Yes
42,Not Sure
43,No
44,Yes
45,No
46,No
47,Yes
48,Yes
49,No
50,Yes
51,Yes
52,Yes
53,Yes
54,Yes
55,No
56,No
57,No
58,No
59,No
60,No
61,Yes
62,Yes
63,No
64,Yes
65,Yes
66,No
67,No
68,No
69,No
70,Yes
71,Yes
72,No
73,Yes
74,No
75,Yes
76,Yes
77,No
78,No
79,Yes
80,Yes
81,No
82,Yes
83,Yes
84,No
85,Yes
86,Yes
87,Yes
88,No
89,No
90,Yes
91,No
92,No
93,Yes
94,Yes
95,Yes
