line_number,similar
1,Yes
2,Yes
3,No
4,Yes
5,Yes
6,Not Sure
7,Yes
8,Yes
9,Yes
10,Not Sure
11,Yes
12,Yes
13,Yes
14,Yes
15,No
16,No
17,Not Sure
18,No
19,No
20,Not Sure
21,No
22,No
23,Yes
24,No
25,Not Sure
26,No
27,No
28,Yes
29,Yes
30,Yes
31,No
32,Yes
33,Yes
34,Not Sure
35,No
36,Yes
37,Yes
38,Yes
39,Yes
40,No
41,Yes
42,Yes
43,Yes
44,No
45,Yes
46,No
47,Yes
48,Yes
49,Yes
50,Yes
51,No
52,No
53,Yes
54,Yes
55,Yes
56,Yes
57,Yes
58,Yes
59,Yes
60,Yes
61,No
62,Yes
63,Yes
64,Yes
65,Yes
66,No
67,Yes
68,Yes
69,No
70,Yes
71,No
72,Yes
73,Yes
74,Not Sure
75,Not Sure
76,Not Sure
77,Not Sure
78,Yes
79,Yes
80,No
81,Yes
82,No
83,Yes
84,Yes
85,Yes
86,Yes
87,No
88,Yes
89,No
